Freq[Hz]     dBSPL  Phase[Deg]
5.00000     85.661   -13.497
5.07273     85.649   -13.460
5.14651     85.631   -13.411
5.22137     85.607   -13.346
5.29732     85.581   -13.274
5.37437     85.556   -13.193
5.45254     85.530   -13.112
5.53185     85.504   -13.029
5.61231     85.478   -12.945
5.69394     85.453   -12.860
5.77676     85.427   -12.773
5.86079     85.401   -12.685
5.94604     85.375   -12.595
6.03252     85.349   -12.504
6.12027     85.324   -12.411
6.20929     85.298   -12.317
6.29961     85.272   -12.221
6.39124     85.246   -12.123
6.48420     85.221   -12.024
6.57851     85.195   -11.923
6.67420     85.169   -11.820
6.77128     85.143   -11.715
6.86977     85.118   -11.609
6.96969     85.092   -11.501
7.07107     85.066   -11.390
7.17392     85.040   -11.278
7.27827     85.015   -11.163
7.38413     84.989   -11.047
7.49154     84.963   -10.928
7.60050     84.937   -10.807
7.71105     84.912   -10.684
7.82321     84.886   -10.558
7.93701     84.860   -10.430
8.05245     84.834   -10.300
8.16958     84.808   -10.167
8.28841     84.783   -10.031
8.40896     84.757    -9.893
8.53128     84.731    -9.752
8.65537     84.705    -9.608
8.78126     84.680    -9.461
8.90899     84.654    -9.312
9.03857     84.628    -9.159
9.17004     84.602    -9.003
9.30342     84.577    -8.844
9.43874     84.551    -8.682
9.57603     84.525    -8.516
9.71532     84.499    -8.347
9.85663     84.474    -8.174
10.0000     84.448    -7.998
10.1455     84.422    -7.818
10.2930     84.396    -7.635
10.4427     84.371    -7.448
10.5946     84.345    -7.257
10.7487     84.319    -7.063
10.9051     84.293    -6.866
11.0637     84.267    -6.665
11.2246     84.242    -6.461
11.3879     84.216    -6.256
11.5535     84.190    -6.049
11.7216     84.164    -5.842
11.8921     84.139    -5.638
12.0650     84.113    -5.440
12.2405     84.087    -5.258
12.4186     84.061    -5.101
12.5992     84.033    -4.977
12.7825     83.994    -4.877
12.9684     83.933    -4.764
13.1570     83.850    -4.592
13.3484     83.743    -4.308
13.5426     83.625    -3.864
13.7395     83.507    -3.232
13.9394     83.397    -2.413
14.1421     83.306    -1.427
14.3478     83.235    -0.296
14.5565     83.198     0.938
14.7683     83.190     2.224
14.9831     83.215     3.521
15.2010     83.270     4.785
15.4221     83.350     5.985
15.6464     83.453     7.094
15.8740     83.571     8.094
16.1049     83.705     8.976
16.3392     83.852     9.726
16.5768     83.996    10.355
16.8179     84.138    10.892
17.0626     84.274    11.354
17.3107     84.405    11.767
17.5625     84.541    12.140
