Freq[Hz]     dBSPL  Phase[Deg]
5.00000     85.481   -17.064
5.07273     85.467   -17.039
5.14651     85.447   -17.006
5.22137     85.420   -16.962
5.29732     85.392   -16.914
5.37437     85.364   -16.861
5.45254     85.336   -16.807
5.53185     85.307   -16.753
5.61231     85.279   -16.698
5.69394     85.250   -16.642
5.77676     85.222   -16.585
5.86079     85.194   -16.528
5.94604     85.165   -16.469
6.03252     85.137   -16.410
6.12027     85.109   -16.349
6.20929     85.080   -16.288
6.29961     85.052   -16.225
6.39124     85.023   -16.162
6.48420     84.995   -16.097
6.57851     84.967   -16.032
6.67420     84.938   -15.965
6.77128     84.910   -15.897
6.86977     84.881   -15.828
6.96969     84.853   -15.758
7.07107     84.825   -15.687
7.17392     84.796   -15.614
7.27827     84.768   -15.540
7.38413     84.740   -15.465
7.49154     84.711   -15.389
7.60050     84.683   -15.311
7.71105     84.654   -15.232
7.82321     84.626   -15.151
7.93701     84.598   -15.069
8.05245     84.569   -14.986
8.16958     84.541   -14.901
8.28841     84.512   -14.814
8.40896     84.484   -14.726
8.53128     84.456   -14.636
8.65537     84.427   -14.545
8.78126     84.399   -14.451
8.90899     84.371   -14.356
9.03857     84.342   -14.259
9.17004     84.314   -14.161
9.30342     84.285   -14.060
9.43874     84.257   -13.957
9.57603     84.229   -13.852
9.71532     84.200   -13.745
9.85663     84.172   -13.636
10.0000     84.143   -13.524
10.1455     84.115   -13.411
10.2930     84.087   -13.294
10.4427     84.058   -13.176
10.5946     84.030   -13.054
10.7487     84.002   -12.930
10.9051     83.973   -12.804
11.0637     83.945   -12.674
11.2246     83.916   -12.542
11.3879     83.888   -12.406
11.5535     83.860   -12.268
11.7216     83.831   -12.128
11.8921     83.804   -11.985
12.0650     83.774   -11.838
12.2405     83.742   -11.679
12.4186     83.716   -11.520
12.5992     83.689   -11.365
12.7825     83.661   -11.205
12.9684     83.634   -11.045
13.1570     83.598   -10.877
13.3484     83.562   -10.685
13.5426     83.530   -10.473
13.7395     83.497   -10.238
13.9394     83.468    -9.986
14.1421     83.445    -9.737
14.3478     83.427    -9.501
14.5565     83.410    -9.278
14.7683     83.388    -9.061
14.9831     83.365    -8.848
15.2010     83.333    -8.625
15.4221     83.301    -8.370
15.6464     83.277    -8.100
15.8740     83.250    -7.822
16.1049     83.224    -7.524
16.3392     83.201    -7.215
16.5768     83.178    -6.901
16.8179     83.152    -6.567
17.0626     83.125    -6.200
17.3107     83.103    -5.811
17.5625     83.082    -5.403
17.8180     83.069    -4.973
18.0771     83.059    -4.526
18.3401     83.043    -4.050
18.6068     83.035    -3.548
18.8775     83.035    -3.031
19.1521     83.044    -2.494
19.4306     83.061    -1.949
19.7133     83.080    -1.407
20.0000     83.104    -0.864
20.2909     83.135    -0.313
20.5860     83.182     0.229
20.8855     83.234     0.745
21.1893     83.292     1.240
21.4975     83.356     1.715
21.8102     83.422     2.168
22.1274     83.497     2.596
22.4492     83.586     2.980
22.7758     83.683     3.313
23.1071     83.780     3.596
23.4432     83.878     3.826
23.7841     83.978     4.007
24.1301     84.085     4.144
24.4811     84.196     4.229
24.8372     84.310     4.252
25.1984     84.429     4.199
25.5649     84.549     4.066
25.9368     84.665     3.864
26.3141     84.775     3.598
26.6968     84.883     3.262
27.0851     84.982     2.873
27.4791     85.085     2.429
27.8788     85.181     1.919
28.2843     85.271     1.346
28.6957     85.354     0.710
29.1131     85.425     0.020
29.5365     85.485    -0.709
29.9661     85.534    -1.476
30.4020     85.572    -2.271
30.8442     85.599    -3.086
31.2929     85.616    -3.917
31.7480     85.621    -4.767
32.2098     85.609    -5.620
32.6783     85.587    -6.465
33.1536     85.551    -7.300
33.6359     85.495    -8.105
34.1251     85.431    -8.869
34.6215     85.350    -9.587
35.1250     85.254   -10.233
35.6359     85.146   -10.789
36.1543     85.020   -11.227
36.6802     84.880   -11.506
37.2137     84.739   -11.614
37.7550     84.605   -11.548
38.3041     84.493   -11.328
38.8613     84.407   -11.000
39.4265     84.352   -10.620
40.0000     84.320   -10.234
40.5818     84.313    -9.878
41.1721     84.328    -9.594
41.7710     84.360    -9.416
42.3785     84.409    -9.372
42.9949     84.462    -9.482
43.6203     84.511    -9.740
44.2548     84.541   -10.126
44.8985     84.547   -10.589
45.5515     84.526   -11.073
46.2141     84.483   -11.530
46.8863     84.421   -11.917
47.5683     84.355   -12.217
48.2602     84.285   -12.427
48.9621     84.222   -12.554
49.6743     84.168   -12.628
50.3968     84.121   -12.665
51.1299     84.086   -12.685
51.8736     84.062   -12.723
52.6281     84.046   -12.796
53.3936     84.038   -12.916
54.1702     84.029   -13.086
54.9581     84.010   -13.284
55.7575     83.989   -13.499
56.5685     83.968   -13.730
57.3914     83.957   -13.985
58.2261     83.958   -14.303
59.0730     83.970   -14.728
59.9323     83.983   -15.295
60.8040     83.988   -16.021
61.6884     83.980   -16.916
62.5857     83.948   -17.978
63.4960     83.876   -19.174
64.4196     83.759   -20.453
65.3566     83.585   -21.758
66.3073     83.341   -22.997
67.2717     83.025   -24.047
68.2502     82.642   -24.796
69.2429     82.195   -25.108
70.2501     81.693   -24.816
71.2719     81.160   -23.753
72.3086     80.633   -21.787
73.3603     80.185   -18.912
74.4274     79.892   -15.312
75.5099     79.837   -11.436
76.6083     80.009    -7.891
77.7226     80.345    -5.140
78.8531     80.773    -3.438
80.0000     81.201    -2.801
81.1636     81.562    -3.062
82.3442     81.808    -3.962
83.5419     81.908    -5.212
84.7570     81.863    -6.521
85.9899     81.678    -7.604
87.2406     81.387    -8.206
88.5096     81.025    -8.134
89.7970     80.642    -7.279
